City_locality,iso3,country,super_region,super_region_name,pm25,sat_2014
ODENSE,DNK,Denmark,1,HighIncome,10,12.8599996566772
ODOLO,ITA,Italy,1,HighIncome,19,26.7880001068115
"Ogden-Clearfield, UT",USA,United States of America,1,HighIncome,7.5,4.44224977493286
Okayama city,JPN,Japan,1,HighIncome,16.5,17.4599952697754
Okinawa city,JPN,Japan,1,HighIncome,15,9.19350528717041
"Oklahoma City, OK",USA,United States of America,1,HighIncome,9,7.0467483997345
OLAWA,POL,Poland,4,E-Eur/C-Eur/C-Asia,25,21.4184913635254
OLBIA,ITA,Italy,1,HighIncome,13,12.449001789093
"Old Harbour Plains, St. Catherine",JAM,Jamaica,5,LatAm/Carib,19,6.40283521016439
OLESNICA,POL,Poland,4,E-Eur/C-Eur/C-Asia,23,21.5214958190918
OLESNO,POL,Poland,4,E-Eur/C-Eur/C-Asia,30,22.7835006713867
OLOMOUC-HEJCIN,CZE,Czech Republic,4,E-Eur/C-Eur/C-Asia,25,20.806001663208
